EUR/GBP in 3m,No Hedge (GBP),Forward Hedge (GBP),Option Hedge (GBP)
0.8,1250000.0,1162790.6976744186,1273529.4117647058
0.81,1234567.9012345679,1162790.6976744186,1258097.3129992737
0.82,1219512.1951219512,1162790.6976744186,1243041.606886657
0.83,1204819.2771084337,1162790.6976744186,1228348.6888731394
0.84,1190476.1904761905,1162790.6976744186,1214005.6022408963
0.85,1176470.5882352942,1162790.6976744186,1200000.0
0.86,1162790.6976744186,1162790.6976744186,1186320.1094391244
0.87,1149425.287356322,1162790.6976744186,1186320.1094391244
0.88,1136363.6363636365,1162790.6976744186,1186320.1094391244
0.89,1123595.5056179776,1162790.6976744186,1186320.1094391244
0.9,1111111.111111111,1162790.6976744186,1186320.1094391244
0.91,1098901.098901099,1162790.6976744186,1186320.1094391244
0.92,1086956.5217391306,1162790.6976744186,1186320.1094391244
0.93,1075268.8172043012,1162790.6976744186,1186320.1094391244
0.94,1063829.7872340425,1162790.6976744186,1186320.1094391244
0.95,1052631.5789473685,1162790.6976744186,1186320.1094391244
